Pt (#),T (s),Vf (V),I_m (A),V_u (V),Pwr (W),Sig (V),Ach (V),Temp (degC),IE RG (#),Over (bits)
0,5,1.24367E+000,-2.00E+00,0.00000E+000,-2.49E+00,-2.00E+00,-8.40E-05,-3.28E+02,12,...h......a
1,10,1.22962E+000,-2.00E+00,0.00000E+000,-2.46E+00,-2.00E+00,-8.43E-05,-3.28E+02,12,..........a
2,15,1.22513E+000,-2.00E+00,0.00000E+000,-2.45E+00,-2.00E+00,-8.08E-05,-3.28E+02,12,..........a
3,20,1.22296E+000,-2.00E+00,0.00000E+000,-2.45E+00,-2.00E+00,-8.56E-05,-3.28E+02,12,..........a
4,25,1.22108E+000,-2.00E+00,0.00000E+000,-2.44E+00,-2.00E+00,-8.87E-05,-3.28E+02,12,..........a
5,30,1.21917E+000,-2.00E+00,0.00000E+000,-2.44E+00,-2.00E+00,-8.30E-05,-3.28E+02,12,..........a
6,35,1.21734E+000,-2.00E+00,0.00000E+000,-2.44E+00,-2.00E+00,-8.48E-05,-3.28E+02,12,..........a
7,40,1.21567E+000,-2.00E+00,0.00000E+000,-2.43E+00,-2.00E+00,-8.51E-05,-3.28E+02,12,..........a
8,45,1.21407E+000,-2.00E+00,0.00000E+000,-2.43E+00,-2.00E+00,-8.41E-05,-3.28E+02,12,..........a
9,50,1.21258E+000,-2.00E+00,0.00000E+000,-2.43E+00,-2.00E+00,-8.47E-05,-3.28E+02,12,..........a
10,55,1.21125E+000,-2.00E+00,0.00000E+000,-2.42E+00,-2.00E+00,-8.64E-05,-3.28E+02,12,..........a
11,60,1.21027E+000,-2.00E+00,0.00000E+000,-2.42E+00,-2.00E+00,-8.79E-05,-3.28E+02,12,..........a
12,65,1.20935E+000,-2.00E+00,0.00000E+000,-2.42E+00,-2.00E+00,-8.84E-05,-3.28E+02,12,..........a
13,70,1.20846E+000,-2.00E+00,0.00000E+000,-2.42E+00,-2.00E+00,-8.87E-05,-3.28E+02,12,..........a
14,75,1.20752E+000,-2.00E+00,0.00000E+000,-2.42E+00,-2.00E+00,-9.36E-05,-3.28E+02,12,..........a
15,80,1.20672E+000,-2.00E+00,0.00000E+000,-2.41E+00,-2.00E+00,-8.76E-05,-3.28E+02,12,..........a
16,85,1.20601E+000,-2.00E+00,0.00000E+000,-2.41E+00,-2.00E+00,-8.82E-05,-3.28E+02,12,..........a
17,90,1.20519E+000,-2.00E+00,0.00000E+000,-2.41E+00,-2.00E+00,-8.91E-05,-3.28E+02,12,..........a
18,95,1.20436E+000,-2.00E+00,0.00000E+000,-2.41E+00,-2.00E+00,-8.83E-05,-3.28E+02,12,..........a
19,100,1.20362E+000,-2.00E+00,0.00000E+000,-2.41E+00,-2.00E+00,-8.72E-05,-3.28E+02,12,..........a
20,105,1.20297E+000,-2.00E+00,0.00000E+000,-2.41E+00,-2.00E+00,-8.99E-05,-3.28E+02,12,..........a
21,110,1.20223E+000,-2.00E+00,0.00000E+000,-2.41E+00,-2.00E+00,-8.95E-05,-3.28E+02,12,..........a
22,115,1.20152E+000,-2.00E+00,0.00000E+000,-2.40E+00,-2.00E+00,-8.67E-05,-3.28E+02,12,..........a
23,120,1.20086E+000,-2.00E+00,0.00000E+000,-2.40E+00,-2.00E+00,-8.98E-05,-3.28E+02,12,..........a
24,125,1.20027E+000,-2.00E+00,0.00000E+000,-2.40E+00,-2.00E+00,-8.97E-05,-3.28E+02,12,..........a
25,130,1.19959E+000,-2.00E+00,0.00000E+000,-2.40E+00,-2.00E+00,-8.83E-05,-3.28E+02,12,..........a
26,135,1.19888E+000,-2.00E+00,0.00000E+000,-2.40E+00,-2.00E+00,-8.34E-05,-3.28E+02,12,..........a
27,140,1.19822E+000,-2.00E+00,0.00000E+000,-2.40E+00,-2.00E+00,-8.11E-05,-3.28E+02,12,..........a
28,145,1.19765E+000,-2.00E+00,0.00000E+000,-2.40E+00,-2.00E+00,-8.35E-05,-3.28E+02,12,..........a
29,150,1.19704E+000,-2.00E+00,0.00000E+000,-2.40E+00,-2.00E+00,-8.40E-05,-3.28E+02,12,..........a
30,155,1.19636E+000,-2.00E+00,0.00000E+000,-2.39E+00,-2.00E+00,-8.60E-05,-3.28E+02,12,..........a
31,160,1.19575E+000,-2.00E+00,0.00000E+000,-2.39E+00,-2.00E+00,-8.72E-05,-3.28E+02,12,..........a
32,165,1.19523E+000,-2.00E+00,0.00000E+000,-2.39E+00,-2.00E+00,-9.11E-05,-3.28E+02,12,..........a
33,170,1.19464E+000,-2.00E+00,0.00000E+000,-2.39E+00,-2.00E+00,-8.84E-05,-3.28E+02,12,..........a
34,175,1.19401E+000,-2.00E+00,0.00000E+000,-2.39E+00,-2.00E+00,-8.94E-05,-3.28E+02,12,..........a
35,180,1.19343E+000,-2.00E+00,0.00000E+000,-2.39E+00,-2.00E+00,-8.56E-05,-3.28E+02,12,..........a
36,185,1.19291E+000,-2.00E+00,0.00000E+000,-2.39E+00,-2.00E+00,-8.57E-05,-3.28E+02,12,..........a
37,190,1.19235E+000,-2.00E+00,0.00000E+000,-2.39E+00,-2.00E+00,-8.05E-05,-3.28E+02,12,..........a
38,195,1.19176E+000,-2.00E+00,0.00000E+000,-2.38E+00,-2.00E+00,-8.52E-05,-3.28E+02,12,..........a
39,200,1.19120E+000,-2.00E+00,0.00000E+000,-2.38E+00,-2.00E+00,-9.22E-05,-3.28E+02,12,..........a
40,205,1.19069E+000,-2.00E+00,0.00000E+000,-2.38E+00,-2.00E+00,-8.80E-05,-3.28E+02,12,..........a
41,210,1.19016E+000,-2.00E+00,0.00000E+000,-2.38E+00,-2.00E+00,-8.77E-05,-3.28E+02,12,..........a
42,215,1.18959E+000,-2.00E+00,0.00000E+000,-2.38E+00,-2.00E+00,-8.71E-05,-3.28E+02,12,..........a
43,220,1.18902E+000,-2.00E+00,0.00000E+000,-2.38E+00,-2.00E+00,-8.82E-05,-3.28E+02,12,..........a
44,225,1.18853E+000,-2.00E+00,0.00000E+000,-2.38E+00,-2.00E+00,-9.12E-05,-3.28E+02,12,..........a
45,230,1.18802E+000,-2.00E+00,0.00000E+000,-2.38E+00,-2.00E+00,-8.40E-05,-3.28E+02,12,..........a
46,235,1.18746E+000,-2.00E+00,0.00000E+000,-2.38E+00,-2.00E+00,-8.15E-05,-3.28E+02,12,..........a
47,240,1.18693E+000,-2.00E+00,0.00000E+000,-2.37E+00,-2.00E+00,-8.55E-05,-3.28E+02,12,..........a
48,245,1.18646E+000,-2.00E+00,0.00000E+000,-2.37E+00,-2.00E+00,-8.49E-05,-3.28E+02,12,..........a
49,250,1.18597E+000,-2.00E+00,0.00000E+000,-2.37E+00,-2.00E+00,-8.44E-05,-3.28E+02,12,..........a
50,255,1.18543E+000,-2.00E+00,0.00000E+000,-2.37E+00,-2.00E+00,-8.30E-05,-3.28E+02,12,..........a
51,260,1.18490E+000,-2.00E+00,0.00000E+000,-2.37E+00,-2.00E+00,-8.82E-05,-3.28E+02,12,..........a
52,265,1.18441E+000,-2.00E+00,0.00000E+000,-2.37E+00,-2.00E+00,-8.46E-05,-3.28E+02,12,..........a
53,270,1.18392E+000,-2.00E+00,0.00000E+000,-2.37E+00,-2.00E+00,-8.53E-05,-3.28E+02,12,..........a
54,275,1.18340E+000,-2.00E+00,0.00000E+000,-2.37E+00,-2.00E+00,-8.52E-05,-3.28E+02,12,..........a
55,280,1.18290E+000,-2.00E+00,0.00000E+000,-2.37E+00,-2.00E+00,-8.83E-05,-3.28E+02,12,..........a
56,285,1.18241E+000,-2.00E+00,0.00000E+000,-2.37E+00,-2.00E+00,-8.99E-05,-3.28E+02,12,..........a
57,290,1.18192E+000,-2.00E+00,0.00000E+000,-2.36E+00,-2.00E+00,-8.86E-05,-3.28E+02,12,..........a
58,295,1.18142E+000,-2.00E+00,0.00000E+000,-2.36E+00,-2.00E+00,-8.67E-05,-3.28E+02,12,..........a
59,300,1.18093E+000,-2.00E+00,0.00000E+000,-2.36E+00,-2.00E+00,-8.61E-05,-3.28E+02,12,..........a
60,305,1.18047E+000,-2.00E+00,0.00000E+000,-2.36E+00,-2.00E+00,-8.63E-05,-3.28E+02,12,..........a
61,310,1.18002E+000,-2.00E+00,0.00000E+000,-2.36E+00,-2.00E+00,-8.91E-05,-3.28E+02,12,..........a
62,315,1.17951E+000,-2.00E+00,0.00000E+000,-2.36E+00,-2.00E+00,-8.34E-05,-3.28E+02,12,..........a
63,320,1.17899E+000,-2.00E+00,0.00000E+000,-2.36E+00,-2.00E+00,-8.14E-05,-3.28E+02,12,..........a
64,325,1.17854E+000,-2.00E+00,0.00000E+000,-2.36E+00,-2.00E+00,-8.06E-05,-3.28E+02,12,..........a
65,330,1.17808E+000,-2.00E+00,0.00000E+000,-2.36E+00,-2.00E+00,-8.16E-05,-3.28E+02,12,..........a
66,335,1.17759E+000,-2.00E+00,0.00000E+000,-2.36E+00,-2.00E+00,-7.72E-05,-3.28E+02,12,..........a
67,340,1.17710E+000,-2.00E+00,0.00000E+000,-2.36E+00,-2.00E+00,-8.33E-05,-3.28E+02,12,..........a
68,345,1.17668E+000,-2.00E+00,0.00000E+000,-2.35E+00,-2.00E+00,-8.16E-05,-3.28E+02,12,..........a
69,350,1.17623E+000,-2.00E+00,0.00000E+000,-2.35E+00,-2.00E+00,-8.11E-05,-3.28E+02,12,..........a
70,355,1.17576E+000,-2.00E+00,0.00000E+000,-2.35E+00,-2.00E+00,-8.38E-05,-3.28E+02,12,..........a
71,360,1.17529E+000,-2.00E+00,0.00000E+000,-2.35E+00,-2.00E+00,-8.12E-05,-3.28E+02,12,..........a
72,365,1.17484E+000,-2.00E+00,0.00000E+000,-2.35E+00,-2.00E+00,-8.17E-05,-3.28E+02,12,..........a
73,370,1.17440E+000,-2.00E+00,0.00000E+000,-2.35E+00,-2.00E+00,-7.67E-05,-3.28E+02,12,..........a
74,375,1.17391E+000,-2.00E+00,0.00000E+000,-2.35E+00,-2.00E+00,-7.81E-05,-3.28E+02,12,..........a
75,380,1.17343E+000,-2.00E+00,0.00000E+000,-2.35E+00,-2.00E+00,-7.68E-05,-3.28E+02,12,..........a
76,385,1.17298E+000,-2.00E+00,0.00000E+000,-2.35E+00,-2.00E+00,-7.68E-05,-3.28E+02,12,..........a
77,390,1.17253E+000,-2.00E+00,0.00000E+000,-2.35E+00,-2.00E+00,-7.46E-05,-3.28E+02,12,..........a
78,395,1.17209E+000,-2.00E+00,0.00000E+000,-2.35E+00,-2.00E+00,-7.56E-05,-3.28E+02,12,..........a
79,400,1.17163E+000,-2.00E+00,0.00000E+000,-2.34E+00,-2.00E+00,-7.94E-05,-3.28E+02,12,..........a
80,405,1.17119E+000,-2.00E+00,0.00000E+000,-2.34E+00,-2.00E+00,-7.58E-05,-3.28E+02,12,..........a
81,410,1.17076E+000,-2.00E+00,0.00000E+000,-2.34E+00,-2.00E+00,-7.37E-05,-3.28E+02,12,..........a
82,415,1.17030E+000,-2.00E+00,0.00000E+000,-2.34E+00,-2.00E+00,-7.69E-05,-3.28E+02,12,..........a
83,420,1.16984E+000,-2.00E+00,0.00000E+000,-2.34E+00,-2.00E+00,-7.94E-05,-3.28E+02,12,..........a
84,425,1.16940E+000,-2.00E+00,0.00000E+000,-2.34E+00,-2.00E+00,-7.70E-05,-3.28E+02,12,..........a
85,430,1.16897E+000,-2.00E+00,0.00000E+000,-2.34E+00,-2.00E+00,-7.71E-05,-3.28E+02,12,..........a
86,435,1.16851E+000,-2.00E+00,0.00000E+000,-2.34E+00,-2.00E+00,-7.91E-05,-3.28E+02,12,..........a
87,440,1.16805E+000,-2.00E+00,0.00000E+000,-2.34E+00,-2.00E+00,-8.03E-05,-3.28E+02,12,..........a
