Pt (#),T (s),Vf (V),I_m (A),V_u (V),Pwr (W),Sig (V),Ach (V),Temp (degC),IE RG (#),Over (bits)
#,s,V,A,V,W,V,V,deg C,#,bits
0,5,1.24233E+000,-2.00E+00,0.00000E+000,-2.49E+00,-2.00E+00,-1.00E-04,-3.28E+02,12,...h......a
1,10,1.22526E+000,-2.00E+00,0.00000E+000,-2.45E+00,-2.00E+00,-9.69E-05,-3.28E+02,12,..........a
2,15,1.21826E+000,-2.00E+00,0.00000E+000,-2.44E+00,-2.00E+00,-9.74E-05,-3.28E+02,12,..........a
3,20,1.21474E+000,-2.00E+00,0.00000E+000,-2.43E+00,-2.00E+00,-9.39E-05,-3.28E+02,12,..........a
4,25,1.21260E+000,-2.00E+00,0.00000E+000,-2.43E+00,-2.00E+00,-9.29E-05,-3.28E+02,12,..........a
5,30,1.21087E+000,-2.00E+00,0.00000E+000,-2.42E+00,-2.00E+00,-9.82E-05,-3.28E+02,12,..........a
6,35,1.20923E+000,-2.00E+00,0.00000E+000,-2.42E+00,-2.00E+00,-9.83E-05,-3.28E+02,12,..........a
7,40,1.20743E+000,-2.00E+00,0.00000E+000,-2.42E+00,-2.00E+00,-1.00E-04,-3.28E+02,12,..........a
8,45,1.20552E+000,-2.00E+00,0.00000E+000,-2.41E+00,-2.00E+00,-1.03E-04,-3.28E+02,12,..........a
9,50,1.20357E+000,-2.00E+00,0.00000E+000,-2.41E+00,-2.00E+00,-1.02E-04,-3.28E+02,12,..........a
10,55,1.20173E+000,-2.00E+00,0.00000E+000,-2.40E+00,-2.00E+00,-1.04E-04,-3.28E+02,12,..........a
11,60,1.20004E+000,-2.00E+00,0.00000E+000,-2.40E+00,-2.00E+00,-1.00E-04,-3.28E+02,12,..........a
12,65,1.19851E+000,-2.00E+00,0.00000E+000,-2.40E+00,-2.00E+00,-1.05E-04,-3.28E+02,12,..........a
13,70,1.19717E+000,-2.00E+00,0.00000E+000,-2.40E+00,-2.00E+00,-1.07E-04,-3.28E+02,12,..........a
14,75,1.19605E+000,-2.00E+00,0.00000E+000,-2.39E+00,-2.00E+00,-1.09E-04,-3.28E+02,12,..........a
